C000  4C F5 C5
C5F5  A2 00
C5F7  86 00
C5F9  86 10
C5FB  86 11
C5FD  20 2D C7
C72D  EA
C72E  38
C72F  B0 04
C735  EA
C736  18
C737  B0 03
C739  4C 40 C7
C740  EA
C741  38
C742  90 03
C744  4C 4B C7
C74B  EA
C74C  18
C74D  90 04
C753  EA
C754  A9 00
C756  F0 04
C75C  EA
C75D  A9 40
C75F  F0 03
C761  4C 68 C7
C768  EA
C769  A9 40
C76B  D0 04
C771  EA
C772  A9 00
C774  D0 03
C776  4C 7D C7
C77D  EA
C77E  A9 FF
C780  85 01
C782  24 01
C784  70 04
C78A  EA
C78B  24 01
C78D  50 03
C78F  4C 96 C7
C796  EA
C797  A9 00
C799  85 01
C79B  24 01
C79D  50 04
C7A3  EA
C7A4  24 01
C7A6  70 03
C7A8  4C AF C7
C7AF  EA
C7B0  A9 00
C7B2  10 04
C7B8  EA
C7B9  A9 80
C7BB  10 03
C7BD  4C D9 C7
C7D9  EA
C7DA  60
C600  20 DB C7
C7DB  EA
C7DC  A9 FF
C7DE  85 01
C7E0  24 01
C7E2  A9 00
C7E4  38
C7E5  78
C7E6  F8
C7E7  08
C7E8  68
C7E9  29 EF
C7EB  C9 6F
C7ED  F0 04
C7F3  EA
C7F4  A9 40
C7F6  85 01
C7F8  24 01
C7FA  D8
C7FB  A9 10
C7FD  18
C7FE  08
C7FF  68
C800  29 EF
C802  C9 64
C804  F0 04
C80A  EA
C80B  A9 80
C80D  85 01
C80F  24 01
C811  F8
C812  A9 00
C814  38
C815  08
C816  68
C817  29 EF
C819  C9 2F
C81B  F0 04
C821  EA
C822  A9 FF
C824  48
C825  28
C826  D0 09
C828  10 07
C82A  50 05
C82C  90 03
C82E  4C 35 C8
C835  EA
C836  A9 04
C838  48
C839  28
C83A  F0 09
C83C  30 07
C83E  70 05
C840  B0 03
C842  4C 49 C8
C849  EA
C84A  F8
C84B  A9 FF
C84D  85 01
C84F  24 01
C851  18
C852  A9 00
C854  48
C855  A9 FF
C857  68
C858  D0 09
C85A  30 07
C85C  50 05
C85E  B0 03
C860  4C 67 C8
C867  EA
C868  A9 00
C86A  85 01
C86C  24 01
C86E  38
C86F  A9 FF
C871  48
C872  A9 00
C874  68
C875  F0 09
C877  10 07
C879  70 05
C87B  90 03
C87D  4C 84 C8
C884  60
C603  20 85 C8
C885  EA
C886  18
C887  A9 FF
C889  85 01
C88B  24 01
C88D  A9 55
C88F  09 AA
C891  B0 0B
C893  10 09
C895  C9 FF
C897  D0 05
C899  50 03
C89B  4C A2 C8
C8A2  EA
C8A3  38
C8A4  B8
C8A5  A9 00
C8A7  09 00
C8A9  D0 09
C8AB  70 07
C8AD  90 05
C8AF  30 03
C8B1  4C B8 C8
C8B8  EA
C8B9  18
C8BA  24 01
C8BC  A9 55
C8BE  29 AA
C8C0  D0 09
C8C2  50 07
C8C4  B0 05
C8C6  30 03
C8C8  4C CF C8
C8CF  EA
C8D0  38
C8D1  B8
C8D2  A9 F8
C8D4  29 EF
C8D6  90 0B
C8D8  10 09
C8DA  C9 E8
C8DC  D0 05
C8DE  70 03
C8E0  4C E7 C8
C8E7  EA
C8E8  18
C8E9  24 01
C8EB  A9 5F
C8ED  49 AA
C8EF  B0 0B
C8F1  10 09
C8F3  C9 F5
C8F5  D0 05
C8F7  50 03
C8F9  4C 00 C9
C900  EA
C901  38
C902  B8
C903  A9 70
C905  49 70
C907  D0 09
C909  70 07
C90B  90 05
C90D  30 03
C90F  4C 16 C9
C916  EA
C917  18
C918  24 01
C91A  A9 00
C91C  69 69
C91E  30 0B
C920  B0 09
C922  C9 69
C924  D0 05
C926  70 03
C928  4C 2F C9
C92F  EA
C930  38
C931  F8
C932  24 01
C934  A9 01
C936  69 69
C938  30 0B
C93A  B0 09
C93C  C9 6B
C93E  D0 05
C940  70 03
C942  4C 49 C9
C949  EA
C94A  D8
C94B  38
C94C  B8
C94D  A9 7F
C94F  69 7F
C951  10 0B
C953  B0 09
C955  C9 FF
C957  D0 05
C959  50 03
C95B  4C 62 C9
C962  EA
C963  18
C964  24 01
C966  A9 7F
C968  69 80
C96A  10 0B
C96C  B0 09
C96E  C9 FF
C970  D0 05
C972  70 03
C974  4C 7B C9
C97B  EA
C97C  38
C97D  B8
C97E  A9 7F
C980  69 80
C982  D0 09
C984  30 07
C986  70 05
C988  90 03
C98A  4C 91 C9
C991  EA
C992  38
C993  B8
C994  A9 9F
C996  F0 09
C998  10 07
C99A  70 05
C99C  90 03
C99E  4C A5 C9
C9A5  EA
